,Player,age,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb.1,Fouled,Off,Disp,UnsTch,Assists.1,KeyP.1,AvgP,PS%,Crosses,LongB,ThrB
0,Aaron Leya Iseka,23,Forward,Toulouse,1437,626,811,Belgium,28,15,13,4,4,0,0,0,0,0,0,8,4,4,20,9,11,3,1,0.25,0,0.25,0.58,0,359,1.25,72,51,359,0,0.25,66,288,-1,3,0.2,0,0.8,0,0.4,0.1,0.1,0,4,0,1,0.4,0.3,0.5,0.3,0.9,1.7,0,0.4,9.4,79.4,0,0.1,0
1,Abdallah Ali Mohamed,22,Forward,Olympique Marseille,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Abdallah N'Dour,27,Defender,Strasbourg,295,80,215,Senegal,4,1,3,0,0,0,0,0,0,0,0,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0.92,98,74,0,0,0,377,414,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Abdel Malik Hsissane,30,Midfielder,Nîmes,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Abdoulaye Bamba,30,Defender,Angers SCO,2573,1406,1167,Côte d'Ivoire,30,16,14,0,0,0,4,3,1,0,0,12,7,5,31,17,14,6,0,0.14,0.14,0,0,0,0,1.08,83,86,429,643,0.21,359,91,59,23,1.7,1.2,0.7,0.2,2.4,0.7,0.1,0,0,4,0.2,0.5,0.5,0.7,0.1,0.4,0.7,4,0.5,30.5,78,0.4,0.9,0
5,Abdoulaye Dabo,20,Midfielder,Nantes,118,118,0,France,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.53,59,59,0,0,0,-1,-1,-1,30,1.5,0,1,0,0,0,0,0,0,0,0,1.5,0.5,1,0,1,1.5,0,1.5,15,86.7,0,0.5,0
6,Abdoulaye Diallo,29,Goalkeeper,Rennes,496,226,270,Senegal,6,3,3,0,0,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0.73,124,83,0,0,0,394,385,14,20,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,20.2,66.1,0,4.3,0
7,Abdoulaye Jules Keita,22,Midfielder,Dijon,442,245,197,Guinea,17,9,8,2,0,2,1,0,1,0,0,4,2,2,6,4,2,3,0,0.61,0.2,0.41,0,0.91,221,1.22,74,26,147,442,0.61,28,51,-1,9,0.6,0.1,0.7,0,0.1,0.4,0,0,2,1,0.9,0.5,0.9,0.5,0.2,0.6,1.2,1,0.5,7.4,79.2,0,0.4,0
8,Abdoulaye Touré,27,Midfielder,Nantes,2748,1430,1318,France,34,16,18,3,3,0,1,1,0,0,0,7,5,2,35,19,16,5,1,0.13,0.03,0.1,0.19,0,916,1.15,79,81,458,2748,0.2,160,235,-1,6,1.4,1.4,0.8,0,0.8,1.1,0.3,0,3,1,1.6,0.7,1.2,1.4,0,1.2,1.3,1,0.7,39.8,80.4,0.2,1.6,0.1
9,Abdul Majeed Waris,29,Forward,Nantes,2255,1146,1109,Ghana,33,17,16,5,5,0,3,2,1,1,0,7,6,1,30,16,14,3,0,0.32,0.12,0.2,0.39,0,451,1.2,75,68,752,752,0.12,93,114,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Abdul Rahman Baba,26,Defender,Reims,965,515,450,Ghana,11,6,5,1,1,0,1,1,0,0,0,3,2,1,15,7,8,3,0,0.19,0.09,0.09,0.17,0,965,1.4,64,88,322,965,0.28,166,140,136,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Adam Jakubech,24,Goalkeeper,Lille,0,0,0,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Adama Mbengue,27,Midfielder,Caen,739,244,495,Senegal,11,3,8,0,0,0,0,0,0,0,0,2,0,2,12,5,7,3,0,0,0,0,0,0,0,1.46,62,67,246,0,0.37,384,425,-1,10,4.4,0.6,1.9,0.1,1.5,0.6,0.4,0,0,0,0.8,0.2,0.7,0.7,0,0.4,1.5,0,0.2,22.7,64.4,0.4,2.3,0
13,Adama Traoré,25,Midfielder,Monaco,240,113,127,Mali,6,3,3,0,0,0,1,1,0,0,0,0,0,0,5,2,3,0,0,0.38,0.38,0,0,0,0,1.88,48,40,0,240,0,-1,-1,-1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Adil Rami,35,Defender,Olympique Marseille,1414,630,784,France,16,7,9,1,1,0,1,1,0,0,0,5,4,1,21,5,16,2,0,0.13,0.06,0.06,0.14,0,1414,1.34,67,88,707,1414,0.13,201,186,123,12,0.9,1.1,1.1,0.1,3.1,0.3,0.9,0,1,1,0.9,0.4,0.3,0.6,0.1,0.1,0.4,1,0.4,52.7,83.4,0,4.1,0
15,Adrien Hunou,27,Midfielder,Rennes,1241,692,549,France,19,10,9,7,4,3,1,1,0,0,0,4,3,1,20,9,11,1,0,0.58,0.07,0.51,0.52,0.49,177,1.45,62,65,1241,1241,0.07,17,167,-1,3,0.6,0.3,0.7,0,0.4,0.4,0,0,7,1,1.4,0.5,0.2,1.2,0.7,0.3,1.4,1,0.5,15.4,76.8,0,0.1,0
16,Adrien Rabiot,26,Midfielder,PSG,1063,512,551,France,14,7,7,2,2,0,1,1,0,0,0,7,4,3,7,2,5,3,0,0.25,0.08,0.17,0.35,0,532,0.59,152,76,354,1063,0.25,106,151,-1,10,2.5,0.7,1.6,0,1.3,0.2,0.1,1,2,1,0.5,0.4,1.1,0.6,0,0.6,1,1,0.4,74.8,93.1,0,3.4,0.2
17,Adrien Sebastian Perruchet Silva,32,Midfielder,Monaco,1183,558,625,Portugal,15,7,8,0,0,0,0,0,0,0,0,5,4,1,15,4,11,6,0,0,0,0,0,0,0,1.14,79,79,197,0,0.46,276,275,-1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Adrien Tameze,26,Midfielder,Nice,2950,1491,1459,France,37,18,19,0,0,0,3,2,1,0,0,15,9,6,29,11,18,7,0,0.09,0.09,0,0,0,0,0.88,102,80,421,983,0.21,328,137,-1,26,2,1.5,1.2,0,1.5,1.4,0.3,0,0,3,0.5,0.7,1.1,1,0,0.9,1.2,3,0.7,50.3,89.1,0,2.5,0.1
19,Adrien Thomasson,27,Midfielder,Strasbourg,2491,1238,1253,France,34,18,16,5,2,3,8,7,1,0,0,9,4,5,30,17,13,6,1,0.47,0.29,0.18,0.15,0.22,498,1.08,83,73,415,311,0.22,101,17,-1,6,1.6,0.5,0.7,0,0.2,1.3,0.1,0,5,8,1.6,1.2,0.6,1.2,0.2,1.3,2,8,1.2,32.7,78.1,0.6,1.2,0
20,Albert Nicolas Lottin,19,Midfielder,Bordeaux,20,5,15,France,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Aleksandr Golovin,24,Midfielder,Monaco,2300,1178,1122,Russia,30,15,15,3,2,1,3,2,1,0,0,6,4,2,36,17,19,8,1,0.23,0.12,0.12,0.15,0.08,767,1.41,64,77,256,767,0.35,141,106,-1,4,1.2,0.7,1.5,0,0.2,1.1,0.1,0,3,3,1.6,0.9,1,1.4,0,1.1,1.7,3,0.9,34,82.3,0.5,1.4,0
22,Alexander Djiku,26,Defender,Caen,2755,1495,1260,France,31,17,14,1,0,1,0,0,0,0,0,8,4,4,35,19,16,10,1,0.03,0,0.03,0,0.07,2755,1.14,79,89,250,0,0.36,226,426,70,9,1.5,2.7,1.6,0.5,5.8,0.6,1,0,1,0,0.2,0.1,0.3,1.4,0,0.4,0.5,0,0.1,45.3,83,0,4.4,0
23,Alexandre Lauray,24,Defender,Bordeaux,258,90,168,France,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1,0,0,0,0,0,0,0,1.74,52,86,258,0,0.35,-1,-1,-1,16,3.7,1.3,0.7,0,3,0.7,0,0,0,0,0,0,0,0.3,0,0,0.7,0,0,72.7,83.9,0,3.7,0
24,Alexandre Mendy,27,Forward,Guingamp,762,305,457,France,16,7,9,3,1,2,0,0,0,0,0,4,3,1,14,3,11,2,0,0.35,0,0.35,0.3,0.39,254,1.65,54,48,381,0,0.24,41,317,-1,5,0.3,0.1,0.9,0,0.4,0.3,0,0,3,0,1.4,0.4,0.3,0.6,0.6,0.8,1.6,0,0.4,7.2,72.2,0.1,0.1,0
25,Alexandre Olliero,25,Goalkeeper,Nantes,90,90,0,France,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,73.7,0,6,0
26,Alexandre Tégar,20,Defender,Dijon,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Alexis Alégué Elandi,24,Midfielder,Nantes,4,4,0,Cameroon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Alexis Blin,24,Midfielder,Amiens SC,1999,979,1020,France,27,13,14,1,0,1,1,0,1,0,0,8,5,3,26,9,17,4,0,0.09,0.05,0.05,0,0.09,1999,1.17,77,74,500,1999,0.18,210,204,-1,9,2.9,1.2,1.1,0,1.7,2,0.5,0,1,1,0.3,0.3,0.2,1.2,0,0.7,1.1,1,0.3,34.6,81.1,0.1,1.4,0
29,Allan Saint-Maximin,24,Midfielder,Nice,2913,1658,1255,France,34,19,15,6,4,2,3,1,2,1,1,14,10,4,26,11,15,2,0,0.28,0.09,0.19,0.22,0.14,486,0.8,112,86,1457,971,0.06,97,135,-1,1,0.4,0.1,0.4,0,0.1,0.4,0,0,6,3,2.2,1.7,4.2,2,0.2,2.4,3.6,3,1.7,25.4,76,0.7,1,0.1
30,Almamy Touré,24,Defender,Monaco,347,90,257,Mali,4,1,3,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,1.04,87,87,0,0,0,245,389,46,35,3.3,2.8,1.3,0.3,2.5,1.8,0.3,0,0,0,0.5,0.5,0.8,0.5,0,1,1.3,0,0.5,57.5,85.7,0.3,3,0
31,Alphonse Areola,28,Goalkeeper,PSG,1890,720,1170,France,21,8,13,0,0,0,0,0,0,0,0,11,4,7,17,4,13,1,0,0,0,0,0,0,0,0.81,111,90,1890,0,0.05,393,326,23,21,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,83.2,0,2.9,0
32,Aly Ndom,24,Midfielder,Caen,401,114,287,France,12,4,8,0,0,0,0,0,0,0,0,6,0,6,5,1,4,2,0,0,0,0,0,0,0,1.12,80,33,201,0,0.45,404,360,-1,20,1,0.3,0.7,0,0.7,0.4,0.2,0,0,0,0.3,0.1,0.5,0.2,0,0.4,0.7,0,0.1,13.4,76.2,0,1.2,0
33,Aly Ndom,24,Midfielder,Caen,401,114,287,France,12,4,8,0,0,0,0,0,0,0,0,6,0,6,5,1,4,2,0,0,0,0,0,0,0,1.12,80,33,201,0,0.45,404,360,-1,20,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,10,80,0,0,0
34,Ambroise Oyongo Bitolo,29,Defender,Montpellier,2141,976,1165,Cameroon,26,12,14,2,1,1,0,0,0,0,0,8,4,4,25,9,16,5,0,0.08,0,0.08,0.09,0.08,1071,1.05,86,82,428,0,0.21,176,340,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Amir Adouyev,21,Midfielder,Montpellier,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Andrea Raggi,36,Defender,Monaco,495,225,270,Italy,6,3,3,0,0,0,0,0,0,0,0,1,0,1,9,4,5,2,1,0,0,0,0,0,0,1.64,55,83,165,0,0.55,297,320,164,28,1.2,1.2,0.2,0.7,2.2,0,0,0,0,0,0.2,0.5,0,1,0.2,0.3,0.3,0,0.5,32.3,84,0.3,1.2,0
37,Andreas Cornelius,28,Forward,Bordeaux,781,296,485,Denmark,20,11,9,3,2,1,1,0,1,0,0,7,5,2,6,3,3,4,0,0.46,0.12,0.35,0.61,0.19,260,0.69,130,39,195,781,0.46,42,104,-1,4,0.2,0.1,2,0,1.1,0.2,0.1,0,3,1,1.1,0.5,0.3,0.9,0.4,1,1.5,1,0.5,11.8,65.7,0,0.3,0.1
38,Andrei Girotto,29,Midfielder,Nantes,1478,692,786,Brazil,20,9,11,2,1,1,0,0,0,0,0,6,4,2,15,9,6,9,3,0.12,0,0.12,0.13,0.11,739,0.91,99,74,148,0,0.61,140,267,-1,8,2.9,1.5,1.8,0.1,2,1.2,0.3,0,2,0,1,0.3,0.1,1.2,0,0.4,0.7,0,0.3,40,79.3,0.1,2.2,0
39,Andy Delort,29,Forward,Montpellier,3132,1663,1469,France,36,19,17,14,8,6,7,2,5,3,0,11,7,4,34,17,17,4,0,0.6,0.2,0.4,0.43,0.37,224,0.98,92,87,783,447,0.11,31,52,-1,1,0.9,0.1,2.6,0,0.2,0.8,0.2,0,14,7,3.3,1.6,1.5,1.5,0.7,1.8,3.5,7,1.6,29.3,63.9,0.8,1.4,0.1
40,Andy Pelmard,21,Defender,Nice,278,109,169,France,4,2,2,0,0,0,0,0,0,0,0,1,1,0,4,1,3,0,0,0,0,0,0,0,0,1.29,70,70,0,0,0,258,318,112,14,1.3,0.8,0.8,0,0.5,0.8,0,0,0,0,0,0.3,0.3,0.5,0,0.3,0.8,0,0.3,40,85,0,1,0
41,Ángel Di María,33,Midfielder,PSG,2339,1186,1153,Argentina,30,15,15,12,6,6,11,8,3,0,0,14,8,6,18,5,13,2,0,0.88,0.42,0.46,0.46,0.47,195,0.69,130,78,1170,213,0.08,21,5,-1,4,1,0.5,0.4,0,0.1,1.1,0,0,12,11,3.2,1.8,1.4,0.6,0.2,1.5,1.6,11,1.8,42.1,78.8,1,1.7,0.2
42,Angelo Fulgini,24,Midfielder,Angers SCO,1636,820,816,France,31,14,17,4,3,1,1,0,1,0,0,9,5,4,28,12,16,1,0,0.28,0.06,0.22,0.33,0.11,409,1.54,58,53,1636,1636,0.06,81,190,-1,3,1.2,0.9,0.7,0.1,0.4,0.6,0.1,0,4,1,0.9,1.3,0.6,1.5,0,1.5,1.5,1,1.3,23.8,77.5,0.5,0.8,0.1
43,Anthony Briançon,26,Midfielder,Nîmes,2925,1485,1440,France,33,17,16,2,0,2,2,0,2,0,0,9,6,3,43,16,27,10,1,0.12,0.06,0.06,0,0.13,1463,1.32,68,89,266,1463,0.34,202,191,-1,10,1.4,2.1,0.9,0.4,5.4,0.7,1.2,0,2,2,0.6,0.2,0.1,0.7,0,0.1,0.2,2,0.2,39.4,81.2,0.1,4.5,0
44,Anthony Caci,23,Midfielder,Strasbourg,2301,1075,1226,France,29,15,14,0,0,0,1,1,0,0,0,8,4,4,26,12,14,1,0,0.04,0.04,0,0,0,0,1.02,89,79,2301,2301,0.04,375,220,-1,16,1.9,1.6,0.9,0.2,1.9,0.8,0.3,0,0,1,0.2,0.4,0.4,0.3,0,0.3,0.8,1,0.4,42.2,81.4,0.4,2.9,0
45,Anthony Gomez Mancini,0,Midfielder,Angers SCO,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Anthony Gonçalves,35,Midfielder,Strasbourg,1058,587,471,France,18,9,9,5,4,1,2,1,1,0,0,4,1,3,13,9,4,3,0,0.6,0.17,0.43,0.61,0.19,212,1.11,81,59,353,529,0.26,25,67,-1,4,1.2,0.6,1.7,0,0.9,0.8,0.1,0,5,2,0.8,0.8,0.4,0.3,0.1,0.4,1.3,2,0.8,22.2,75.5,0.6,0.8,0
47,Anthony Limbombe Ekango,26,Forward,Nantes,1230,882,348,Belgium,29,15,14,1,1,0,1,1,0,0,0,6,6,0,13,9,4,2,0,0.15,0.07,0.07,0.1,0,1230,0.95,95,42,615,1230,0.15,193,169,-1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Anthony Lopes,30,Goalkeeper,Olympique Lyonnais,3060,1530,1530,Portugal,34,17,17,0,0,0,0,0,0,0,0,9,5,4,42,17,25,0,0,0,0,0,0,0,0,1.24,73,90,0,0,0,281,324,94,14,0,0.1,0,0,0.6,0.1,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,26.5,77.6,0,5.4,0
49,Anthony Mandrea,24,Goalkeeper,Angers SCO,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Anthony Racioppi,22,Goalkeeper,Olympique Lyonnais,0,0,0,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Anthony Walongwa,27,Defender,Nantes,90,90,0,Congo DR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,15,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,37,91.9,0,0,0
52,Antoine Bernede,21,Midfielder,PSG,170,90,80,France,2,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.53,170,85,0,0,0,-1,-1,-1,26,6.5,1.5,1,0,0.5,2,0.5,0,0,0,0.5,0.5,0,0.5,0,2,1,0,0.5,85,93.5,0,1.5,0
53,Antonin Bobichon,25,Forward,Nîmes,2154,850,1304,France,30,13,17,7,4,3,2,0,2,0,0,9,6,3,30,5,25,2,0,0.38,0.08,0.29,0.42,0.21,308,1.25,72,72,1077,1077,0.08,56,166,-1,3,1.1,0.5,1.2,0,0.4,1.4,0.1,0,7,2,1.2,0.9,0.6,0.4,0,0.8,1,2,0.9,27.5,83.3,0.5,1.5,0
54,Antonio Barreca,26,Defender,Monaco,596,351,245,Italy,7,4,3,0,0,0,1,1,0,0,0,1,1,0,8,5,3,0,0,0.15,0.15,0,0,0,0,1.21,75,85,0,596,0,351,75,88,19,1.6,1,1,0,2.4,0.6,0.3,0,0,1,0.7,0.7,0.3,1,0,0.9,1.7,1,0.7,24,75,0.9,1.1,0
55,Antonio Mance,25,Forward,Nantes,45,13,32,Croatia,5,2,3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2,45,9,45,0,2,-1,-1,-1,33,0.2,0,0.6,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.4,0,0,2.8,64.3,0,0,0
56,Anwar El Ghazi,25,Forward,Lille,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Arber Zeneli,26,Forward,Reims,807,401,406,Kosovo,15,8,7,3,0,3,3,1,2,2,0,3,2,1,15,7,8,0,0,0.67,0.33,0.33,0,0.67,269,1.67,54,54,0,269,0,50,10,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Armand Lauriente,22,Forward,Rennes,3,0,3,France,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Arnaud Nordin,22,Midfielder,Saint-Étienne,1046,479,567,France,25,13,12,3,0,3,1,1,0,0,0,9,5,4,10,5,5,2,0,0.34,0.09,0.26,0,0.48,349,0.86,105,42,523,1046,0.17,63,136,-1,8,0.6,0.2,0.5,0,0.3,0.3,0.1,0,3,1,1.6,0.5,0.9,1.4,0,1.2,1.3,1,0.5,12.1,84.4,0.2,0.2,0
60,Arnold Bouka Moutou,32,Defender,Dijon,63,2,61,Congo,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2.86,32,21,0,0,0,-1,-1,-1,16,1,1,0.3,0,0.3,1.3,0,0,0,0,0.3,0,0.3,0.3,0,0.3,0.7,0,0,8.7,69.2,0,0,0
61,Arthur Zagre,19,Defender,PSG,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Arton Zekaj,21,Midfielder,Lille,0,0,0,Serbia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,0
63,Assane Dioussé,23,Midfielder,Saint-Étienne,213,133,80,Senegal,7,4,3,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,1.27,71,30,0,0,0,-1,-1,-1,24,0.9,0.1,0.3,0,1,0.3,0,0,0,0,0.3,0.3,0.6,0.4,0,1,0.4,0,0.3,20.3,84.5,0,1.1,0.1
64,Assil Jaziri,21,Forward,Nice,34,17,17,Tunisia,3,2,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,-1,-1,-1,16,0.7,0.3,0.7,0,0,0.3,0,0,0,0,1.3,0.3,0.3,0.3,0,0,0.3,0,0.3,7,76.2,0.3,0.3,0
65,Aurélien Tchouaméni,21,Midfielder,Bordeaux,705,394,311,France,10,5,5,0,0,0,0,0,0,0,0,3,2,1,6,3,3,3,0,0,0,0,0,0,0,0.77,118,71,235,0,0.38,370,352,-1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Axel Disasi,23,Defender,Reims,157,90,67,France,4,1,3,0,0,0,0,0,0,0,0,1,0,1,4,1,3,0,0,0,0,0,0,0,0,2.29,39,39,0,0,0,-1,-1,-1,16,0.5,0.5,0,0,4,0.3,0.3,0,0,0,0,0.3,0.3,0,0,0,0.5,0,0.3,16.5,75.8,0,0.3,0
67,Aymen Abdennour,31,Defender,Olympique Marseille,0,0,0,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Azzeddine Toufiqui,21,Midfielder,PSG,0,0,0,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Bafodé Diakité,21,Defender,Toulouse,632,92,540,France,9,2,7,1,0,1,0,0,0,0,0,2,0,2,8,1,7,2,0,0.14,0,0.14,0,0.17,632,1.14,79,70,316,0,0.28,129,286,69,7,1.7,1.2,1,0.2,2.4,0.4,0.3,0,1,0,0.1,0.2,0,0.8,0,0.7,1,0,0.2,29.4,80,0,1,0
70,Baïssama Sankoh,29,Defender,Caen,647,197,450,Guinea,15,6,9,0,0,0,0,0,0,0,0,7,2,5,7,4,3,3,1,0,0,0,0,0,0,0.97,92,43,162,0,0.56,265,270,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Bakary Adama Soumaoro,28,Defender,Lille,1726,765,961,France,20,9,11,0,0,0,1,0,1,0,0,5,4,1,16,5,11,7,1,0.05,0.05,0,0,0,0,0.83,108,86,247,1726,0.37,303,200,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Bakaye Dibassy,31,Defender,Amiens SC,2941,1494,1447,France,34,17,17,1,1,0,1,0,1,0,0,9,6,3,43,17,26,6,1,0.06,0.03,0.03,0.06,0,2941,1.32,68,87,420,2941,0.21,242,242,117,14,1.1,1.3,1.1,0.4,2.7,0.3,0.6,0,1,1,0.3,0.2,0.5,0.4,0.1,0.5,0.6,1,0.2,36.1,77.4,0.3,1.4,0
73,Baptiste Guillaume,25,Forward,Nîmes,1187,534,653,Belgium,24,12,12,2,0,2,1,0,1,0,0,6,4,2,18,4,14,4,0,0.23,0.08,0.15,0,0.28,594,1.36,66,49,297,1187,0.3,123,155,-1,12,0.5,0.1,1,0,0.2,0.3,0,0,2,1,0.7,0.4,0.4,0.9,0.1,0.8,1.5,1,0.4,11.6,62.6,0,0.1,0
74,Baptiste Reynet,30,Goalkeeper,Toulouse,2705,1355,1350,France,31,16,15,0,0,0,0,0,0,0,0,6,4,2,42,16,26,1,1,0,0,0,0,0,0,1.4,64,87,1353,0,0.07,336,291,135,20,0,0,0,0,0.8,0.1,0,1,0,0,0,0.1,0.1,0.3,0,0,0,0,0.1,31.1,61.6,0,8.5,0
